,sent1,sent2,label,source
8178,آقای فياد گفت هر ماهه گزارش بودجه در اختيار عموم گذاشته خواهد شد و قول داد هر اداره ای که از محدوده بودجه تعيين شده تخطی کند، عواقب آن رابپردازد.,مردم به صورت ماهیانه از وضعیت بودجه با خبر خواهند شد.,e,natural-wiki
113,آقای بلو می گوید سناتور بلومنتال ادعا كرد كه كلینتون به او گفته است كه لوینسكی پیشنهادهای جنسی به او داده است.,کلینتون گفت که مونیکا لوینسکی در زمان حضور خود به عنوان روزنامه نگار در کاخ سفید ، پیشنهادهای جنسی به داده است.,n,translation-dev
1442,بله و گربه ها را تماشا کنید که آن را پاره می کنند.,این چیز خوبی است که در این دنیا گربه وجود ندارد.,c,translation-train
1018,این مجموعه ها ، به طور مرتب از ۴۵۰۰۰ اثر ذخیره شده ، از فاو و کوبیسم گرفته تا اکسپرسیونیسم انتزاعی ، دادائیسم ، سوررئالیسم و همه جناح ها و واکنش های ناپایدار که از آنها پیروی می کند ، هستند.,این مجموعه ها از ۴۵۰۰۰ اثر مختلف تشکیل شده‌اند ، اما از موضوعات محدودی هستند.,n,translation-train
448,همه آنها نقل قول هایی از کتاب عهد عتیق عمه روت هستند.,هر یک از آنها نقل قول هایی از عهد عتیق است.,e,translation-dev
1111,صدای تیز شنیدم,سکوت کامل وجود داشت.,c,translation-train
312,دیگران دنبال کردند.,دیگران جان را دنبال کرده بودند.,n,translation-train
1108,کارکنان برای رسیدگی به حجم کار پردازش بازده در طول سال تشکیل پرونده سالانه ، IRS در نظر دارد تعداد کارمندان دائمی و مسئولیت های شغلی آن ها را افزایش دهد تا شامل کارهایی در زمینه انطباق که آنها می توانند بعد از فصل تشکیل پرونده انجام دهند، شود.,IRS قصد دارد مسئولیت های شغلی کارمندان دائم را افزایش دهد.,e,translation-train
303,بخش کراسننسکی (به لاتین: Krasnensky District) یک منطقهٔ مسکونی در روسیه است که در استان بیلگاراد واقع شده‌است.,شهر مسکو، پایتخت کشور روسیه است.,n,natural-wiki
298,ناخداباوری یعنی خداباور نبودن.,خدانشناس یعنی کسی که خدا را نمی شناسد.,n,natural-wiki
1131,ده دقیقه پیاده روی شرقی در جاده بلفورد شما را به دو گالری هنری مهم سوق می دهد.,حداقل دو گالری هنری در جاده بلفورد وجود دارد.,e,translation-train
179,در پی شکست‌ها به نتایج انتخابات اعتراض‌هایی شد.,پس از انتخابات همه چیز مسالمت آمیز پیش رفت.,c,natural-wiki
153,این رنگ‌های نسل جدید برای ایجاد پوشش بافت در سطوح مناسبند چون غلظت بالایی دارند و به سرعت خشک می‌شوند و بو ندارند.,رنگ اکریلیک با وجود اینکه مدت زیادی طول می‌کشد خشک شود، انعطاف‌پذیر است و به همین علت روی تمام سطوح از جمله سیمانی، گچی، صفحات کناف، و هر سطح دیگری قابل اجرا هستند.,c,natural-wiki
937,با آنکه اسکات را عموماً به‌واسطهٔ آثار ادبی و اشعارش می شناختند، اما میراث و اعتبارش به‌خاطر کارهایی که در «ادارهٔ امور سرخپوستان» انجام داد، لکه‌دار شد.,اسکات به دلیل کارهاش در اداره امور سرخپوستان بسیار مورد احترام بود.,c,natural-wiki
567,برای مثال شلوارهای جین آبی رنگ آمریکایی یکی از لباس‌های بسیار خاص و مورد پسند بود؛ از جهت دیگر فروشگاه‌های دست دوم فروشی که تنها در آن‌ها می‌شد لباس‌های غربی پیدا کرد، فقط از یک منبع تأمین می‌شدند و آن بازدیدکننده‌هایی بودند که از غرب می‌آمدند و کالاها را با سود بالا وارد می‌کردند، یکی از فروشگاه‌های زنجیره‌ای خرده فروشی به نام «بریوزکا» نیز دست به فروش لباس‌های غربی زد اما تنها برخی از مردم مرفه که می‌توانستند مبادلات سنگین ارزی انجام دهند و گواهی تبادل ارزی داشتند، توانایی خرید از آنجا را داشتند، زیرا تنها شکل پرداخت در این فروشگاه ارز یا چک پول‌های بانک وینیِسخترگ بود، گواهینامهٔ مبادلات ارزی و لباس‌های غربی در بازار سیاه نیز پیدا می‌شدند.,مردم مرفه می توانستند از فروشگاه بریوزکا، لباس های غربی تهیه کنند,e,natural-wiki
68,بحث مهمی که این روزها وجود دارد این است که گفته  شده حتما دلیل نمی‌شود فردی که اکنون رئیس جمهور است پس برای دور بعد هم  حتما باید تأیید صلایت شود.,رییس جمهور رد صلاحیت نخواهد شد.,c,natural-miras
8158,دروس این گرایش، شباهت زیادی به دروس ارائه شده در گرایش مدیریت سیستم و بهره‌وری و رشته MBA دارد.,مباحث مربوط در این گرایش در ارتباط با اقتصاد کلان است و ارتباط چندانی با مباحث مدیریتی ندارد.,c,natural-wiki
401,ما همچنین نشان می دهیم که چگونه مؤلفه وکالت وب سایتهای سراسر کشور با به اشتراک گذاشتن منابع حقوقی و تخصص - که عموماً کارکرد ناظران حقوقی است، نمایندگی مؤثر را ارتقا می بخشد.,ناظران حقوقی معمولاً وظیفه دارند مشاوره و منابع حقوقی را به اشتراک بگذارند.,n,translation-train
151,داوران در قضاوت امروز خود نيز بر طعم بهتر شراب های کاليفرنيای آمريکا، بخصوص پس از به اصطلاح کهنه شدن تاکيد گذاشتند.,سی سال پيش داوران برای نخستين بار با بهتر شناختن شراب های دنیا، شروع به تولید شرابهای کالیفرنیا کردند.,n,natural-voa
516,این در دسترس ترین مورد روستاهای دیوارکشی شده ی مناطق جدید است.,دسترسی به سایر روستاهای مناطق جدید به سختی امکان پذیر است.,e,translation-train
216,بله این یک فیلم بسیار جالب است و دارای دیدگاه های تاریخی خوبی است.,تصور می شد این فیلم الهام بخش باشد و نکات خوبی را دربرداشته باشد.,n,translation-train
505,کنترل آن را خدمهٔ ایرانی‌اش در دسامبر ۱۹۷۸ در نیولندن ایالت کانتیکت در دست گرفتند ولی در مارس ۱۹۷۹ در پی انقلاب اسلامی آن را ترک کردند.,پس از انقلاب اسلامی، ایالت کانتیکت کنترل آن را در دست گرفت ,n,natural-wiki
502,اخلاق هندو می گوید که راه رستگاری شامل سه مولفه است: عدالت ، کامیابی که صادقانه حاصل شود و لذت.,راه صادقانه رسیدن به کامیابی در متون هندو نوشته شده است.,n,translation-train
21,درخشندگی سیاه‌چاله‌های کلان‌جرم در اختروش‌ها بین ده تا صدبرابر درخشندگی بقیه اختروش است.,درخشان‌ترین قسمت اختروش‌ها سیاه‌چاله‌های درون آن‌ها هستند.,e,natural-wiki
419,وی حاکمیت ۱۶ روزه ترور را آغاز کرد که باعث شد ۳۰۰ مادیرانی کشته شوند ، ذخایر قند از بین رفت و جزیره غارت شد.,در طی سلطنت ۱۶ روزه حمله هولناکی رخ داد.,e,translation-dev
233,این مسجد در قاهره غیر معمول است زیرا هیچ نمایی ندارد ، در پشت دیوار محافظ با نوزده دهانه پنهان شده است.,این مسجد در سایرو توسط دیوارها محافظت می شود.,e,translation-train
58,آقای عيسی پس ازآن که کوشش وی و سه مرد ديگر دربمب گذاری درايستگاه های مترولندن و يک اتوبوس شهری در روز۲۱ ماه ژوئيه گذشته نافرجام ماند، بلافاصله به ايتاليا گريخت.,آقای عیسی پس از بمب گذاری در لندن باقی ماند.,c,natural-voa
418,سلجوقیان که تا قبل از آن به درخواست خلافت بغداد پاسخ مثبت داده بودند پس از ماجراجویی‌ها و درگیری‌های بسیار در نقاط مختلف سرانجام آنچنان نیرومند شدند که جرئت یافتند تا به مرزهای روم شرقی یا همان بیزانس حمله کنند، آنان در روز ۱۹ اوت ۱۰۷۱ در میدان نبرد فراموش ناشدنی و تاریخی مانزیکرت (ملازگرد) تحت فرمان فرماندهٔ مقتدر خود آلپ ارسلان شکست سختی به مسیحیان وارد کنند.,مسیحیان شکست سختی از سجوقیان در سال ۱۰۷۱ خوردند.,e,natural-wiki
2206,دادور گرایش به خواندن آوازهای مدرن دارد، اما گفته‌است که از آوازها و موسیقی سنتی ایرانی هم الهام می‌گیرد.,سبک اصلی دادور سنتی است.,c,natural-wiki
15,پرزيدنت بوش پس از حملات تروریستی ۱۱ سپتامبر ۲۰۰۱ در آمریکا، تشکیل دادگاه های نظامی را تصویب کرد.,پرزيدنت بوش پس از حملات تروریستی ۱۱ سپتامبر ۲۰۰۱ در آمریکا، تشکیل دادگاه های نظامی را به تعویق انداخت.,c,natural-voa
1453,تاپنس در آن خانه بود!,این خانه ای است که تاپنس در آن بود.,e,translation-train
491,ارزش برنامه فیلی ، مشاهده شده توسط قاضی سابق دادگاه عالی نیوجرسی ، دانیل آر. کوبورن ، این است که منیزه ها را از کوسه ها جدا می کند ، سپس منیزه ها را پاسخگو می داند و از این رو کمتر احتمال دارد که آنها تبدیل به کوسه شوند ، چه رسد به اینکه تبدیل به کوسه شکارچی سفید بزرگ شوند که مجبور به زندانی کردن آنها بشویم.,ارزش برنامه فیلی این است که مینوها را از کوسه ها جدا نمی کند.,c,translation-train
75,بنابر سرشماری مرکز آمار ایران، جمعیت بخش مرکزی شهرستان شهریار در سال ۱۳۸۵ برابر با ۵۱۴۷۴۰ نفر بوده‌است.,سرشماری در سال ۱۳۸۵ انجام شد. ,e,natural-wiki
7126,پس از خدمت در جبهه، گلفاند جوان یهودی ، نابودی و مرگ و رفاقت را تجربه کرد.,جبهه خودش دانشگاهی است. ,n,natural-wiki
1172,از داده های اصلی و تجزیه و تحلیل ها و مشکلات در تأیید کیفیت آنها,مشکلی در کیفیت داده ها وجود نداشت,c,translation-train
456,DO کافی، با تعویض هوا در بالای آب در کیسه ها با اکسیژن از یک سیلندر گاز فشرده ، و آب بندی کیسه ها یا با استفاده از یک هواکش که توسط یک پمپ قابل حمل ایجاد می شود ، حفظ می شود.,DO کافی، جایگزین هوا با آب جایگزین می شود.,c,translation-train
853,مهاجرت یک مورد سیاسی و در بعضی از کشورها یک مورد مهم و عمده سیاسی هم هست.,مخالفت با مهاجرت علاوه بر دلایل سیاسی از علائق اقتصادی و مالی تحت تأثیر قرار می‌گیرد.,n,natural-wiki
67,و در حالی که ما به مردم اجازه می دهیم به کودک خود کلیه بدهند، اجازه نمی دهیم که قلب خود را اهدا کنند.,شما همیشه نمی توانید اعضای بدن خود را به فرزند خود اهدا کنید.,n,translation-train
4,به هیچ وجه نمی‌توان تصور کرد که تسهیلات مسکن تورم فزاینده‌ای ایجاد کند.,در اثر ارائه‌ی تسهیلات مسکن تورم فزاینده‌ای ایجاد نخواهد شد.,e,natural-miras
21, پس از ٢۵ سال ، تلويزيون ايران ساز نمايش داد, پس از ٢۱ سال ، تلويزيون ايران ساز نمايش داد,c,natural-voa
336,با توجه به این معیارها ، کینزی قیمت خوبی دارد.,تحقیقات کینزی برای عصر مدرن مفید است.,n,translation-train
148,تيم آريزونا کاردينالز دومين پيروزی خود در اين فصل را پس از شکست دادن تيم سياتل سی هاکز با نتيجه ۱۷-۲۵ بدست آورد.,تيم آريزونا کاردينالز با اختلاف ۸ امتیاز پیروز شد.,e,natural-voa
584,اما تیم شنکلی در پایان با قهرمانی در جام حذفی این فصل ناکامی‌های خود در این فصل را جبران کردند.,تیم شنکلی در این فصل، قهرمانی جام حذفی را از آن خود کرد.,e,natural-wiki
7175,پس از یک هفته استراحت دور برگشت مسابقات آغاز شد.,این مسابقات به مدت یکماه به طول انجامید.,n,natural-wiki
7633,فورد در انتخابات شهرداری تورنتو در سال ۲۰۱۴ شرکت کرد و پس از جان توری دوم شد.,هنری فورد از جمله ثروتمندان و تاجرینی است که در انتخابات ریاست جمهوری آمریکا شرکت کرده است.,n,natural-wiki
534,جان با خود فکر کرد: فقط می توانم امیدوار باشم که بتوانیم آنها را نجات دهیم.,جان می خواست آنها را از شر اوباش عصبانی نجات دهد.,n,translation-train
1444,در نزدیکی ساحل رودخانه ، هتل نیل هیلتون قرار دارد که یک مکان دیدنی برای کایرین (زیراکه که مردم شهر شناخته شده اند) و همچنین گردشگران است.,در نزدیکی ساحل رودخانه هتل نیل هیلتون وجود دارد که توسط افراد محلی و همچنین گردشگران شناخته شده است.,e,translation-train
91,اوه ، خوب ، نه آنها این را انجام نمی دهند. ,نه ، آنها به آنجا نمی روند.,n,translation-dev
993,ویکی‌پدیای فارسی در آذر ۱۳۹۸ (نوامبر ۲۰۱۹) به چیدمان پس از ویکی‌پدیاهای انگلیسی، سینوگبانونی، سوئدی، آلمانی، فرانسوی، هلندی، روسی، ایتالیایی، اسپانیایی، لهستانی، وینارایی، ویتنامی، ژاپنی، چینی، عربی، پرتغالی و اکراینی در ردهٔ هجدهم ویکی‌پدیاها قرار داشته و دو ویکی‌پدیای کاتالان و صربی در دم، پس از آن هستند.,ویکی‌پدیای فارسی پس از ویکی‌پدیاهای 17 زبان دیگر مثل عربی و چینی ویکی‌پدیاها و قبل از ویکیپدیاهای کاتالان و صربی در ردهٔ هجدهم قرار گرفت.,e,natural-wiki
395,آه، بله آنها سال گذشته پول بیشتری را از هر تیم دیگری در لیگ خرج کردند و آنها همانطور که شما میدانید به سمت پایین لیگ بودند، بنابراین مثل این است که من گفتم خرج کردن پول به شما تضمین نمی کند که برنده یک پرچم قهرمانی شوید. واقعا نمیکند.,میزان پولی که خرج می کنید همیشه نشانگر سطح موفقیت شما نیست.,e,translation-train
118,آیزاک فلورنتین کارگردان و ورزشکار حرفه‌ای اسرائیلی تبار هنرهای رزمی است.,آیزاک فلورنتین  روسی است.,c,natural-wiki
441,به عنوان نمونه ای از نیاز مبرم به نفع خیرخواهانه ، دین گلن به دادگاه مدنی نیویورک ، شلوغ ترین کشور اشاره کرد.,نیاز به کمک مالی فوری است.,e,translation-train
286,بیشتر تورهای سازمان یافته معمولاً شامل یک شب در یک گازینو به عنوان بخشی از برنامه ی سفر می شوند. در غیر این صورت می توانید یک میز را از طریق هتل یا از طریق نمایندگی سفر خود رزرو کنید.,هیچ توری شامل یک شب گازینو نیست ، شما نمی توانید یکی را رزرو کنید.,c,translation-train
367,بررسی مالی صورتهای مالی سال مالی IRS سال ۱۹۹۵ (GAO / AIMD-۹۶-۱۰۱ ، ۱۱ ژوئیه ۱۹۹۶),بررسی مالی صورتهای مالی سال مالی IRS سال ۱۹۹۵ (GAO / AIMD-۹۶-۱۰۱  ۱۱ ژوئیه ۱۹۹۶),c,translation-train
801,تبلیغ کنندگان غالباً از ما می خواهند كه عصیان كنیم ، و مرتباً از ما می خواهند كه پیروی كنیم.,تبلیغ کنندگان از ما می خواهند که کارهایی انجام دهیم.,e,translation-train
7273,سیارک ۲۶۶۹۸۳ ۲۶۶۹۸۳مین سیارکی ‌است که در ۳۰* نوامبر ۲۰۰۵ کشف شد.,مقدار اطلاعات جدید و سیارات و ستارگان تازه کشف شده بسیار زیاد و تعجب آور است.,n,natural-wiki
913,ما باید برای رفتن افراد به معادن آماده شویم.,ما باید مردم را برای رفتن به معادن آماده کنیم.,e,translation-train
292,به نظر می‌رسد که راه ورود به بناها از بام بوده باشد.,امکان ورود به این بنا‌ها به سادگی وجود ندارد.,n,natural-wiki
312,علی باباجان امروز (يکشنبه) پس از مذاکره با همتای ايرانيش، منوچهر متکی، در تهران سخن می گفت.,منوچهر متکی، وزیر امور خارجه ایران  است.,n,natural-voa
799,به همین دلیل مطمئن خواهند شد که او را متوقف کنند.,نیازی به متوقف کردن او نیست.,c,translation-train
2205,همچنین، کاربران قادر به تغییر تکنولوژیِ سکوها به هنگام نیاز نخواهند بود.,ارائه دهندگان خدمات، معمولاً سکوها را برای پشتیبانی ازیک شرکت خاص طراحی نمی‌کنند.,n,natural-wiki
150,این بیماری مقاوم به الکل، بتادین، اشعه یونیزه، رادیو اکتیو وانواع ضدعفونی‌کنندهاست و همچنین در دمای حداقل ۲۰۰ سانتیگراد نیز از بین نمی‌رود بنابراین با خوردن گوشت آلود شخص نیز آلوده می‌شود.,برای جلوگیری از این بیماری باید با الکل سطوح را ضدعفونی کرد و یا از پختن در دمای ۲۰۰ درجه سانتیگراد استفاده کرد.,c,natural-wiki
1003,همچنین، تعداد قطعه‌های دو فایل خروجی حداکثر یک واحد اختلاف دارند، بنابراین در انتهای مرحلهٔ یکی از فایل‌های خروجی حاوی تنها یک قطعهٔ مرتب از تمام n زکورد فایل ورودی و دیگری خالی است.,تعداد قطعه ها با هم برابر است.,n,natural-wiki
590,تو دوست من را کشتی,دوستم را کشتم.,c,translation-train
18,xx,xx,xx,natural-miras
48,دولت جديد ساحل عاج که درآن قدرت ، تقسيم شده است امروز نخستين جلسه خود را در شهر ياموسوکْرو که پايتخت اداری کشور تلقی ميشود تشکيل داد اما رهبران گروه اصلی شورشيان کشور و جنبشهای اوپوزيسيون در اين جلسه حضور نيافتند .,جلسه امروز دولت جدید ساحل عاج با حضور رهبران گروه اصلی شورشیان برگزار شد.,c,natural-voa
2195,در این بازار انواع لوازم خانگی، پخت و پز، و انواع دکان‌های: خرازی، بزازی، عطاری، قنادی، و نانوایی وجود دارد.,بازار مساح، بازاری تاریخی و از اولین بازار های مدرن کشور است.,n,natural-wiki
7316,حدود سال‌های ۱۳۵۰ سید محمود طالقانی اجازۀ دریافت وجوهات برای کمک به مردم نیازمند و انجام فعالیت‌های مددکاری را به منصوریان داد.,طالقانی در دهۀ پنجاه، یکی از روحانیون محبوب آن زمان بود. ,n,natural-wiki
1032,اول اینکه، پارك ملت فعالیتهای مختلفی را ارائه می دهد ، و دوم تاکیید زیادی بر مشارکت در فعالیت‌ها دارد.,این پارک فعالیت های زیادی را ارائه می دهد، اما ثبت نام مهم نیست.,n,translation-train
7092,قرار بود حدود ۷ میلون نفر از فرانسوی‌ها تبعید شده و حداقل یک میلیون آلمانی به‌جای آن‌ها ساکن شوند.,"اما این طرح پس از عملیات ""بارباروسا""  متوقف شده و هرگز اجرا نشد.",c,natural-wiki
111,چون ریزآلیاژها باید با فلزات دیگر سازه‌ای مانند AISI ۱۰۱۰ و آلومینیم رقابت کنند، باید تا حد امکان ارزان باشند.,ریزآلیاژها باید مقرون به صرفه باشند.,e,natural-wiki
21,"واقعا آقا ارنست با اعتراض به قاضی گفت: ""این سؤالات نامرتبط هستند""; بعد تعظیم کرد و در حالی که پیکانش را شلیک کرده بود ادامه داد.",سر ارنست کمی سرش را خم کرد و ادامه داد.,e,translation-train
7101,۱۴: برج گنبد قابوس، استان گلستان (۲۰۱۲),استان گلستان دارای آثار تاریخی بسیاری است که خیلی از آنها در یونسکو ثبت شده اند. یکی از آنها گند قابوس است. ,e,natural-wiki
293,در این بین، پژو 405 با توجه به تیراژ 42 هزار و 211 دستگاهی‌اش طی چهار ماه نخست امسال، با 13 درصد کاهش، نسبت به بازه زمانی مشابه سال گذشته مواجه شده است.,تولید پژو نسبت به سال گذشته کاهش داشته است.,e,natural-miras
7277,یعنی برخلاف متوازی‌الأضلاع که دو ضلع روبه ‌روی برابر دارد.,باید دوباره به تعریف متوازی الاضلاع رجوع کنیم. ,n,natural-wiki
164,از زمانی که این شهر به دست گروه دولت اسلامی افتاد تخریب بناهای تاریخی و آثار هنری و کشتار مورخان و باستان شناسان به راهبرد این گروه در جنگ با تاریخ، فرهنگ و روشنفکری تبدیل شده‌است.,این گروه مخالف تخریب آثار هنری و باستان‌ شناسی بودند.,c,natural-wiki
331,Town End مملو از مصنوعات شگفت انگیز از زندگی روزمره قرن هفدهم مانند وسایل آشپزی ، ماهی تابه ، ظروف و قلاب برای آویز کردن خرگوش و فرشهای قرقاول ساخته شده توسط زنان خانواده است و لوازم لباسشویی مانند دلی که برای شستن لباس را درون وان استفاده میشد.,آثار باستانی بسیاری، از جمله وسایل لباسشویی و وسایل آشپزی ، در شهر انت وجود دارند که مربوط به دهه ۱۶۰۰ هستند .,e,translation-train
7291,علامۀ بزرگوار پس از اخذ اجازۀ اجتهاد از مراجع مذکور به زادگاهش مراجعت و به تربیت و تعلیم طلاب و ترویج اخلاق اسلامی همت گماشت.,آیا میشود روزی برسد که علم بتواند ادیان را توضیح بدهد؟,n,natural-wiki
263,پس از تحصیلات مقدماتی، در زمانی که پدرش، سفیر کبیر ایران در دربار عثمانی بود، علی‌رغم علاقه پدر و مادرش به تحصیل وی در فرانسه، در سال ۱۲۹۱ به دبیرستان نظام در استانبول ترکیه رفت، ولی پس از دو سال، به علت شروع جنگ به ایران آمد و با درجه افسری، به ارتش پیوست و پس از این ایام بود که به دانشکده افسری سویس اعزام شد و پس از آن در سال ۱۳۰۲ جزو محصلین اعزامی به فرانسه رفت و دوره تکمیلی‌دانشکده سواره نظام را طی کرد و به ایران بازگشت.,دو سال بعد از رفتن به استانبول برای ادامه تحصیل جنگ شروع شد و وی به ایران آمد.,e,natural-wiki
353,"پل لویی آدریان آنری ایمانز (; – ) سیاستمدار اهل بلژیک و عضو حزب لیبرال این کشور بود.
او دومین رئیس جامعه ملل بود و دوباره بین سال‌های ۱۹۳۲ و ۱۹۳۳ به عنوان رئیس آن خدمت کرد.
","بین سال‌های ۱۹۳۲ و ۱۹۳۳، رئیس جامعه ی ملل، 
پل لویی آدریان آنری ایمانز ، بود.",e,natural-wiki
7585,دو نفر از محل سرچشمه زارچ و سه نفر از محل توده زارچ انتخاب می‌شوند.,انتخابات باید در شرایط کاملاً آزاد و شفاف انجام شود. ,n,natural-wiki
7238,در منابع تاریخی ذکر شده‌است که در کرانۀ شمالی ماساچوست شهری به اسم Manchester-by-the Sea وجود دارد که پیش تر «منچستر» نام داشت اما در سال ۱۹۸۹ به واسطۀ حکم ایالتی جنجالی و درخواست برای پایان دادن به اشتباه گرفته شدن با شهر اصلی منچستر نامش به منچستر- بای -د -سی یا «منچستر کنار دریا» تغییر کرد.,شهردار شهر برای تغییر نام شهر و برگزاری کمپینهای مختلف زحمات زیادی کشید.,e,natural-wiki
147,تيم آريزونا کاردينالز دومين پيروزی خود در اين فصل را پس از شکست دادن تيم سياتل سی هاکز با نتيجه ۱۷-۲۵ بدست آورد.,تيم تمپا بی باکانيرز نيز دومين پيروزی فصل را در برابر تيم مهمان، شيکاگو برز، با نتيجه ۷-۱۹ صاحب شد.,n,natural-voa
871,انسان‌ها نزدیک به ۱۲۵۰۰ سال پیش به آمریکای شمالی رسیدند و ماموت‌ها و پستانک‌دندان‌ها در اندک زمانی بعد منقرض شدند.,در کارائیب شماری از گونه‌های بزرگ مانند ماموت ها پس از رسیدن انسان به آنجا در حدود ۸ هزار سال پیش منقرض شدند.,n,natural-wiki
520,لی‌لی رابطه خوبی با همه اعضای گروه دارد و تنها کسی است که همه مسایل شخصی خود را به او می‌گویند اما با این حال او رازدار خوبی نیست و در موقعیت‌های مختلف رازهای زیادی را برملا می‌کند ولی بسیار مهربان است.,لی لی رازدار خوبی نیست و به همین دلیل اکثر افراد از در میان گذاشتن مسائل شخصی خود با او امتناع می کنند,c,natural-wiki
400,در سال ۶۴۰ م در پی حمله اعراب به ایران «سعد جریر» به شهر دینور تاخت و از فتح آن ناکام ماند و سپس راهی کرمانشاه شد و بدون نبرد این شهر بدست اعراب افتاد با این وجود اعراب شهر کرمانشاه را به کلی ویران کردند؛ و از جمعیت آن کاسته شد و در پی آن ساکنان این شهر به شهر دینور مهاجرت کردند.,کرمانشاه در اثر حمله‌ی اعراب کاملا ویران شد.,e,natural-wiki
1166,مردم وقتی جواهرات را در گارد دستی پیچ خورده شمشیر دیدند ، شروع به زمزمه کردند.,شمشیر در گارد دستی پیچ خورده خود جواهرات داشت.,e,translation-train
351,"سربازان عبدالرحمن الغافقی در شرایط حساسی قرار گرفته بودند، 
اما آن‌ها هرگز قادر به درک این شرایط حساس و 
جنگ سرنوشت سازی که پیش رو داشتند، نبودند.",آن‌ها به خاطر جنگ سنوشت ساز و موقعیت حساسی که پیش رو داشتند بسیار نگران و مضطرب بودند.,c,natural-wiki
800,مطالعات موردی عمیق و گسترده در چندین حوضه آبخیز انجام شد و گزارش نهایی براساس تلفیق یافته های مطالعات موردی است - نمونه دیگری از ادغام یافته ها در مکان‌های مختلف (ایالات متحده,هیچ کس تاکنون زمان برای مطالعه مناطق آبریز نگذاشته است.,c,translation-train
454,اولین قدم مهم و لازم، مطابقت دادن نقاط انتهایی می باشد.,از وضعیت نقاط انتهایی می توان چشمپوشی کرد.,c,natural-wiki
152,در یاتاقان هوایی به علت عدم تماس جامد با جامد و همچنین ویسکوزیته بسیار کم هوا، اصطکاک در شروع و حین حرکت بسیار ناچیز است. سایش سطوح نیز از دیگر عوامل نامطلوب برای عملکرد یاتاقان است.,سایش سطوح  از عوامل نامطلوب برای عملکرد یاتاقان است ولی در یاتاقان هوایی این عامل به دلیل کمبود اصطکاک بین دو جسم، ناچیز است.,e,natural-wiki
900, ۱۲ کیلومتر (۷ مایل) از ایپوه، قلعه کلی است، عمارتی که ساختش وقتی در اواسط دهه‌ی ۲۰ صاحب آن ، ویلیام کلی اسمیت ، یک کارگر لاستیک ، در حین بازدید از اسکاتلند درگذشت،  متوقف شد.,ویلیام کلی اسمیت برنامه ریز لاستیک بود که هنگام بازدید از اسکاتلند در اواسط دهه ۱۹۲۰ میلادی درگذشت.,e,translation-train
371,این دوره هر سال تعداد زیادی آموزش معتبر CLE را برگزار می کند ، و جلسات نیروی کار دو ماهه در سراسر کشور را در زمینه های خانواده ، مسکن ، منافع عمومی ، مصرف کننده ، مهاجرت و قانون سالمندان هماهنگ می کند.,بسیاری از افراد در همه مباحث ارائه شده در جلسات نیروی کار سراسر کشور شرکت می کنند.,n,translation-train
425,اما اجازه ندهید که شما را دلسرد کند.,این سخت است و بسیاری از مردم به دلیل آن دلسرد می شوند.,n,translation-train
7208,زیرا ترس او آن بود که در آلمان نازی از سوی دولت آدولف هیتلر تحت تعقیب قرار گیرد.,ترس از اینکه توسط نیروهای نازی مورد تعقیب قرار بگیرد خواب راحت را از او گرفته بود. ,e,natural-wiki
597,خیلی زیاد به لندن بروید و نمایش های آنجا را ببینید,من اغلب در لندن نمایش هایی می دیدم.,e,translation-train
1081,در پایان او آهی طولانی سر داد.,او در پایان آهسته آهی کشید.,e,translation-train
432,چون که آرژانتینی هستیم ، ماکارونی زیادی هم داریم,آرژانتینی ها به ماکارونی علاقه مند هستند زیرا بسیاری از شهروندان آن ریشه ایتالیایی دارند.,n,translation-dev
7477,با استفاده از دستور goto می‌توان کنترل برنامه را به خط مشخصی از برنامه منتقل نمود.,در برنامه نویسی برای اینکه به دستگاه چکار کند باید به آن فرمان بدهید.,n,natural-wiki
7259,چون ماهی حاوی اسیدهای چرب ضروری می‌باشد باید آن را به رژیم غذایی خود بیفزایند.,ماهی و میگو دارای امگای سۀ بالایی هستند ولی خطر بالا رفتن کلسترول بدن با مصرف آنها افزایش می یابد. ولی بهرحال میشود با مصرف محدود از فواید این غذاها هم استفاده کرد.,e,natural-wiki
333,چرا به اینجا آمدی؟ اینجا درگیر سیل است و بسیاری از روستاهای جنوبی راهزنان را به خود جلب می کنند.,در جنوب روستاهایی وجود داشت.,e,translation-train
45,در سایه بنفش صبح ، قائدان عدرین را ایستاده بر روی تپه ها در حال تمرین شمشیر دید.,آدرین در شب گم شد که یک شمشیرباز او را تعقیب کرد که بسیاری آن را قائدان می شناسند.,c,translation-train
1052,سیاستمداران آنرا سرویس مؤسس می نامند.,سروریس موسس خوانده می‌شود,e,translation-train
33,ما به سفرهایی رفته ایم که در نهرهایی شنا کرده ایم,علاوه بر استحمام در نهرها ، ما به اسپا ها و سونا ها نیز رفته ایم.,n,translation-train
106,روز ۴شنبه و قبل از تصویب این لایحه در سنا قیمت شاخص داو جونز ۲۰۰ واحد سقوط کرد., قیمت شاخص داو جونز ثابت ماند.,c,natural-voa
290,در آن لحظه بود که او کاملا متوجه حماقت اش شد و شروع به بازگشت به تامی به سمت خانه کرد.,او به حماقت اش پی برد و غمگین شد.,n,translation-train
304,بله میانگین فعلی یا هرچیز دیگری,بله متوسط در حال حاضر,e,translation-train
